capability,maturity,evidence,commercial_implication
Canonical corpus and provenance,Production,"18,462 reconciled identities, 13,499 D1 records, 4,963 reversible aliases, and four unresolved blockers","Selected images can be traced to source identity and duplicate variants need not be presented as independent evidence"
Semantic and visual search,Production,"BGE text vectors cover 18,464 IDs; CLIP vectors cover 18,382 IDs; semantic, visual, and hybrid API modes are active","A concept can begin with text or image queries against the archive rather than manual browsing"
VLM descriptions and visual taxonomy,Research-complete,"A 14,822-row historical run produced 14,706 captions and 14,283 high-confidence taxonomy labels; current D1 enrichment coverage is zero","Themes and candidate clusters can support a reviewed pilot but are not a live archive-wide classification service"
OCR and entity clues,Review-ready,"Bilingual OCR produced 13,553 nonempty local results, but median confidence is about 0.27 and the reviewed entity set is small","Signs and storefront clues can support a curated story only after human verification"
Location and geocoding,Review-ready,"The local artifact has 162 coordinate-bearing rows, about 1.1% of the 14,822-row source grain, with several incorrect name-based resolutions","Location can guide a bounded scan but cannot yet support an archive-wide opportunity map"
Visual families sequences and deduplication,Research-complete,"Visual Family Graph v1 covers 18,462 nodes, 920 components, 345,870 typed edges, and 120 reviewed decisions","The system can assemble coherent sequences and avoid repeated variants while keeping similarity claims review-bound"
Image quality and derivatives,Review-ready,"A representative audit assessed 620 of 700 records and a 500-record derivative pilot produced 482 successful outputs","A controlled client specimen can be prepared, but uniform archive-wide presentation quality is not yet proven"
Candidates collections and story surfaces,Review-ready,"Historical generation produced 313 candidate rows and 21 collections containing 383 records","Several archive-derived directions can be reviewed without treating automated selection as publication authority"
Review dossiers and evaluation,Review-ready,"The Factory includes gold labels, active-learning queues, retrieval evaluation, and 32 accepted verified dossiers from a 60-record client lane","A paid pilot can be evidence-backed and auditable, although current evaluation sets do not support broad performance claims"
Advanced vision models,Deferred,"DINO was not run; SAM was not used in the completed workflow; no DETR or DERT implementation was found","These models should not appear in client-facing capability claims for the first pilot"
